Using device: cuda
Episode 0, Total Reward: 2.0, Total Frames: 23, epsilon 0.9999769999999993
Episode 9833, Total Reward: 0.0, Total Frames: 64859, epsilon 0.9351409999981349
Episode 9834, Total Reward: 0.0, Total Frames: 64861, epsilon 0.9351389999981349
Episode 9835, Total Reward: 0.0, Total Frames: 64863, epsilon 0.9351369999981348
Episode 9836, Total Reward: 0.0, Total Frames: 64865, epsilon 0.9351349999981348
Episode 9837, Total Reward: 2.0, Total Frames: 64883, epsilon 0.9351169999981342
Episode 9838, Total Reward: 0.0, Total Frames: 64885, epsilon 0.9351149999981342
Episode 9839, Total Reward: 2.0, Total Frames: 64911, epsilon 0.9350889999981334
Episode 9840, Total Reward: 0.0, Total Frames: 64913, epsilon 0.9350869999981334
Episode 9841, Total Reward: 0.0, Total Frames: 64915, epsilon 0.9350849999981333
Episode 9842, Total Reward: 1.0, Total Frames: 64927, epsilon 0.935072999998133
Episode 9843, Total Reward: 0.0, Total Frames: 64929, epsilon 0.9350709999981329
Episode 9844, Total Reward: 0.0, Total Frames: 64931, epsilon 0.9350689999981329
Episode 9845, Total Reward: 1.0, Total Frames: 64942, epsilon 0.9350579999981325
Episode 9846, Total Reward: 0.0, Total Frames: 64944, epsilon 0.9350559999981325
Episode 9847, Total Reward: 0.0, Total Frames: 64946, epsilon 0.9350539999981324
Episode 9848, Total Reward: 0.0, Total Frames: 64948, epsilon 0.9350519999981324
Episode 9849, Total Reward: 1.0, Total Frames: 64961, epsilon 0.935038999998132
Episode 9850, Total Reward: 0.0, Total Frames: 64963, epsilon 0.935036999998132
Episode 9851, Total Reward: 0.0, Total Frames: 64965, epsilon 0.9350349999981319
Episode 9852, Total Reward: 0.0, Total Frames: 64967, epsilon 0.9350329999981318
Episode 9853, Total Reward: 1.0, Total Frames: 64981, epsilon 0.9350189999981314
Episode 9854, Total Reward: 0.0, Total Frames: 64983, epsilon 0.9350169999981314
Episode 9855, Total Reward: 1.0, Total Frames: 64996, epsilon 0.935003999998131
Episode 9856, Total Reward: 0.0, Total Frames: 64998, epsilon 0.9350019999981309
Episode 9857, Total Reward: 0.0, Total Frames: 65000, epsilon 0.9349999999981309
Episode 9858, Total Reward: 0.0, Total Frames: 65002, epsilon 0.9349979999981308
Episode 9859, Total Reward: 0.0, Total Frames: 65004, epsilon 0.9349959999981308
Episode 9860, Total Reward: 2.0, Total Frames: 65030, epsilon 0.93496999999813
Episode 9861, Total Reward: 0.0, Total Frames: 65048, epsilon 0.9349519999981295
Episode 9862, Total Reward: 0.0, Total Frames: 65050, epsilon 0.9349499999981294
Episode 9863, Total Reward: 0.0, Total Frames: 65052, epsilon 0.9349479999981294
Episode 9864, Total Reward: 2.0, Total Frames: 65072, epsilon 0.9349279999981288
Episode 9865, Total Reward: 0.0, Total Frames: 65074, epsilon 0.9349259999981288
Episode 9866, Total Reward: 0.0, Total Frames: 65076, epsilon 0.9349239999981287
Episode 9867, Total Reward: 1.0, Total Frames: 65088, epsilon 0.9349119999981284
Episode 9868, Total Reward: 0.0, Total Frames: 65090, epsilon 0.9349099999981283
Episode 9869, Total Reward: 0.0, Total Frames: 65092, epsilon 0.9349079999981282
Episode 9870, Total Reward: 0.0, Total Frames: 65094, epsilon 0.9349059999981282
Episode 9871, Total Reward: 0.0, Total Frames: 65096, epsilon 0.9349039999981281
Episode 9872, Total Reward: 0.0, Total Frames: 65098, epsilon 0.9349019999981281
Episode 9873, Total Reward: 0.0, Total Frames: 65100, epsilon 0.934899999998128
Episode 9874, Total Reward: 1.0, Total Frames: 65113, epsilon 0.9348869999981276
Episode 9875, Total Reward: 0.0, Total Frames: 65115, epsilon 0.9348849999981276
Episode 9876, Total Reward: 1.0, Total Frames: 65129, epsilon 0.9348709999981272
Episode 9877, Total Reward: 1.0, Total Frames: 65145, epsilon 0.9348549999981267
Episode 9878, Total Reward: 0.0, Total Frames: 65147, epsilon 0.9348529999981267
Episode 9879, Total Reward: 0.0, Total Frames: 65149, epsilon 0.9348509999981266
Episode 9880, Total Reward: 0.0, Total Frames: 65151, epsilon 0.9348489999981265
Episode 9881, Total Reward: 0.0, Total Frames: 65153, epsilon 0.9348469999981265
Episode 9882, Total Reward: 0.0, Total Frames: 65155, epsilon 0.9348449999981264
Episode 9883, Total Reward: 2.0, Total Frames: 65173, epsilon 0.9348269999981259
Episode 9884, Total Reward: 0.0, Total Frames: 65175, epsilon 0.9348249999981258
Episode 9885, Total Reward: 0.0, Total Frames: 65177, epsilon 0.9348229999981258
Episode 9886, Total Reward: 0.0, Total Frames: 65179, epsilon 0.9348209999981257
Episode 9887, Total Reward: 1.0, Total Frames: 65192, epsilon 0.9348079999981254
Episode 9888, Total Reward: 1.0, Total Frames: 65206, epsilon 0.934793999998125
Episode 9889, Total Reward: 0.0, Total Frames: 65208, epsilon 0.9347919999981249
Episode 9890, Total Reward: 0.0, Total Frames: 65210, epsilon 0.9347899999981248
Episode 9891, Total Reward: 1.0, Total Frames: 65222, epsilon 0.9347779999981245
Episode 9892, Total Reward: 0.0, Total Frames: 65224, epsilon 0.9347759999981244
Episode 9893, Total Reward: 2.0, Total Frames: 65245, epsilon 0.9347549999981238
Episode 9894, Total Reward: 1.0, Total Frames: 65259, epsilon 0.9347409999981234
Episode 9895, Total Reward: 0.0, Total Frames: 65261, epsilon 0.9347389999981234
Episode 9896, Total Reward: 0.0, Total Frames: 65263, epsilon 0.9347369999981233
Episode 9897, Total Reward: 0.0, Total Frames: 65265, epsilon 0.9347349999981233
Episode 9898, Total Reward: 0.0, Total Frames: 65267, epsilon 0.9347329999981232
Episode 9899, Total Reward: 2.0, Total Frames: 65285, epsilon 0.9347149999981227
Episode 9900, Total Reward: 0.0, Total Frames: 65297, epsilon 0.9347029999981223
Episode 9901, Total Reward: 0.0, Total Frames: 65299, epsilon 0.9347009999981223
Episode 9902, Total Reward: 0.0, Total Frames: 65301, epsilon 0.9346989999981222
Episode 9903, Total Reward: 3.0, Total Frames: 65332, epsilon 0.9346679999981213
Episode 9904, Total Reward: 0.0, Total Frames: 65334, epsilon 0.9346659999981213
Episode 9905, Total Reward: 0.0, Total Frames: 65336, epsilon 0.9346639999981212
Episode 9906, Total Reward: 2.0, Total Frames: 65356, epsilon 0.9346439999981206
Episode 9907, Total Reward: 0.0, Total Frames: 65364, epsilon 0.9346359999981204
Episode 9908, Total Reward: 1.0, Total Frames: 65376, epsilon 0.9346239999981201
Episode 9909, Total Reward: 0.0, Total Frames: 65378, epsilon 0.93462199999812
Episode 9910, Total Reward: 0.0, Total Frames: 65380, epsilon 0.93461999999812
Episode 9911, Total Reward: 0.0, Total Frames: 65382, epsilon 0.9346179999981199
Episode 9912, Total Reward: 0.0, Total Frames: 65384, epsilon 0.9346159999981198
Episode 9913, Total Reward: 2.0, Total Frames: 65404, epsilon 0.9345959999981193
Episode 9914, Total Reward: 0.0, Total Frames: 65411, epsilon 0.9345889999981191
Episode 9915, Total Reward: 1.0, Total Frames: 65422, epsilon 0.9345779999981187
Episode 9916, Total Reward: 0.0, Total Frames: 65424, epsilon 0.9345759999981187
Episode 9917, Total Reward: 1.0, Total Frames: 65440, epsilon 0.9345599999981182
Episode 9918, Total Reward: 0.0, Total Frames: 65442, epsilon 0.9345579999981182
Episode 9919, Total Reward: 1.0, Total Frames: 65453, epsilon 0.9345469999981179
Episode 9920, Total Reward: 1.0, Total Frames: 65467, epsilon 0.9345329999981175
Episode 9921, Total Reward: 0.0, Total Frames: 65469, epsilon 0.9345309999981174
Episode 9922, Total Reward: 0.0, Total Frames: 65471, epsilon 0.9345289999981173
Episode 9923, Total Reward: 0.0, Total Frames: 65473, epsilon 0.9345269999981173
Episode 9924, Total Reward: 0.0, Total Frames: 65475, epsilon 0.9345249999981172
Episode 9925, Total Reward: 1.0, Total Frames: 65486, epsilon 0.9345139999981169
Episode 9926, Total Reward: 1.0, Total Frames: 65500, epsilon 0.9344999999981165
Episode 9927, Total Reward: 0.0, Total Frames: 65502, epsilon 0.9344979999981164
Episode 9928, Total Reward: 0.0, Total Frames: 65504, epsilon 0.9344959999981164
Episode 9929, Total Reward: 0.0, Total Frames: 65506, epsilon 0.9344939999981163
Episode 9930, Total Reward: 1.0, Total Frames: 65519, epsilon 0.934480999998116
Episode 9931, Total Reward: 0.0, Total Frames: 65521, epsilon 0.9344789999981159
Episode 9932, Total Reward: 1.0, Total Frames: 65533, epsilon 0.9344669999981156
Episode 9933, Total Reward: 1.0, Total Frames: 65546, epsilon 0.9344539999981152
Episode 9934, Total Reward: 0.0, Total Frames: 65548, epsilon 0.9344519999981151
Episode 9935, Total Reward: 0.0, Total Frames: 65550, epsilon 0.9344499999981151
Episode 9936, Total Reward: 1.0, Total Frames: 65564, epsilon 0.9344359999981147
Episode 9937, Total Reward: 0.0, Total Frames: 65566, epsilon 0.9344339999981146
Episode 9938, Total Reward: 0.0, Total Frames: 65568, epsilon 0.9344319999981145
Episode 9939, Total Reward: 2.0, Total Frames: 65586, epsilon 0.934413999998114
Episode 9940, Total Reward: 1.0, Total Frames: 65606, epsilon 0.9343939999981135
Episode 9941, Total Reward: 1.0, Total Frames: 65620, epsilon 0.934379999998113
Episode 9942, Total Reward: 0.0, Total Frames: 65622, epsilon 0.934377999998113
Episode 9943, Total Reward: 0.0, Total Frames: 65624, epsilon 0.9343759999981129
Episode 9944, Total Reward: 1.0, Total Frames: 65637, epsilon 0.9343629999981126
Episode 9945, Total Reward: 0.0, Total Frames: 65639, epsilon 0.9343609999981125
Episode 9946, Total Reward: 1.0, Total Frames: 65651, epsilon 0.9343489999981122
Episode 9947, Total Reward: 0.0, Total Frames: 65653, epsilon 0.9343469999981121
Episode 9948, Total Reward: 0.0, Total Frames: 65655, epsilon 0.934344999998112
Episode 9949, Total Reward: 0.0, Total Frames: 65657, epsilon 0.934342999998112
Episode 9950, Total Reward: 0.0, Total Frames: 65659, epsilon 0.9343409999981119
Episode 9951, Total Reward: 1.0, Total Frames: 65677, epsilon 0.9343229999981114
Episode 9952, Total Reward: 1.0, Total Frames: 65690, epsilon 0.934309999998111
Episode 9953, Total Reward: 1.0, Total Frames: 65704, epsilon 0.9342959999981106
Episode 9954, Total Reward: 0.0, Total Frames: 65706, epsilon 0.9342939999981106
Episode 9955, Total Reward: 0.0, Total Frames: 65708, epsilon 0.9342919999981105
Episode 9956, Total Reward: 1.0, Total Frames: 65721, epsilon 0.9342789999981101
Episode 9957, Total Reward: 0.0, Total Frames: 65723, epsilon 0.9342769999981101
Episode 9958, Total Reward: 0.0, Total Frames: 65725, epsilon 0.93427499999811
Episode 9959, Total Reward: 0.0, Total Frames: 65727, epsilon 0.93427299999811
Episode 9960, Total Reward: 1.0, Total Frames: 65739, epsilon 0.9342609999981096
Episode 9961, Total Reward: 0.0, Total Frames: 65741, epsilon 0.9342589999981096
Episode 9962, Total Reward: 1.0, Total Frames: 65752, epsilon 0.9342479999981093
Episode 9963, Total Reward: 0.0, Total Frames: 65754, epsilon 0.9342459999981092
Episode 9964, Total Reward: 0.0, Total Frames: 65762, epsilon 0.934237999998109
Episode 9965, Total Reward: 1.0, Total Frames: 65775, epsilon 0.9342249999981086
Episode 9966, Total Reward: 1.0, Total Frames: 65802, epsilon 0.9341979999981078
Episode 9967, Total Reward: 0.0, Total Frames: 65816, epsilon 0.9341839999981074
Episode 9968, Total Reward: 0.0, Total Frames: 65818, epsilon 0.9341819999981074
Episode 9969, Total Reward: 0.0, Total Frames: 65820, epsilon 0.9341799999981073
Episode 9970, Total Reward: 3.0, Total Frames: 65846, epsilon 0.9341539999981066
Episode 9971, Total Reward: 0.0, Total Frames: 65848, epsilon 0.9341519999981065
Episode 9972, Total Reward: 0.0, Total Frames: 65850, epsilon 0.9341499999981064
Episode 9973, Total Reward: 0.0, Total Frames: 65852, epsilon 0.9341479999981064
Episode 9974, Total Reward: 0.0, Total Frames: 65854, epsilon 0.9341459999981063
Episode 9975, Total Reward: 1.0, Total Frames: 65865, epsilon 0.934134999998106
Episode 9976, Total Reward: 0.0, Total Frames: 65867, epsilon 0.934132999998106
Episode 9977, Total Reward: 2.0, Total Frames: 65891, epsilon 0.9341089999981053
Episode 9978, Total Reward: 0.0, Total Frames: 65893, epsilon 0.9341069999981052
Episode 9979, Total Reward: 0.0, Total Frames: 65895, epsilon 0.9341049999981051
Episode 9980, Total Reward: 1.0, Total Frames: 65908, epsilon 0.9340919999981048
Episode 9981, Total Reward: 1.0, Total Frames: 65922, epsilon 0.9340779999981044
Episode 9982, Total Reward: 0.0, Total Frames: 65924, epsilon 0.9340759999981043
Episode 9983, Total Reward: 0.0, Total Frames: 65926, epsilon 0.9340739999981043
Episode 9984, Total Reward: 3.0, Total Frames: 65964, epsilon 0.9340359999981032
Episode 9985, Total Reward: 0.0, Total Frames: 65972, epsilon 0.9340279999981029
Episode 9986, Total Reward: 0.0, Total Frames: 65974, epsilon 0.9340259999981029
Episode 9987, Total Reward: 0.0, Total Frames: 65976, epsilon 0.9340239999981028
Episode 9988, Total Reward: 0.0, Total Frames: 65978, epsilon 0.9340219999981028
Episode 9989, Total Reward: 0.0, Total Frames: 65980, epsilon 0.9340199999981027
Episode 9990, Total Reward: 0.0, Total Frames: 65982, epsilon 0.9340179999981026
Episode 9991, Total Reward: 0.0, Total Frames: 65984, epsilon 0.9340159999981026
Episode 9992, Total Reward: 0.0, Total Frames: 65986, epsilon 0.9340139999981025
Episode 9993, Total Reward: 0.0, Total Frames: 65997, epsilon 0.9340029999981022
Episode 9994, Total Reward: 0.0, Total Frames: 65999, epsilon 0.9340009999981022
Episode 9995, Total Reward: 2.0, Total Frames: 66017, epsilon 0.9339829999981016
Episode 9996, Total Reward: 0.0, Total Frames: 66019, epsilon 0.9339809999981016
Episode 9997, Total Reward: 0.0, Total Frames: 66021, epsilon 0.9339789999981015
Episode 9998, Total Reward: 0.0, Total Frames: 66023, epsilon 0.9339769999981015
Episode 9999, Total Reward: 0.0, Total Frames: 66025, epsilon 0.9339749999981014
Episode 10000, Total Reward: 0.0, Total Frames: 66027, epsilon 0.9339729999981013
Episode 10001, Total Reward: 0.0, Total Frames: 66029, epsilon 0.9339709999981013
Episode 10002, Total Reward: 0.0, Total Frames: 66031, epsilon 0.9339689999981012
Episode 10003, Total Reward: 1.0, Total Frames: 66044, epsilon 0.9339559999981009
Episode 10004, Total Reward: 0.0, Total Frames: 66046, epsilon 0.9339539999981008
Episode 10005, Total Reward: 0.0, Total Frames: 66048, epsilon 0.9339519999981007
Episode 10006, Total Reward: 0.0, Total Frames: 66050, epsilon 0.9339499999981007
Episode 10007, Total Reward: 2.0, Total Frames: 66068, epsilon 0.9339319999981002
Episode 10008, Total Reward: 0.0, Total Frames: 66070, epsilon 0.9339299999981001
Episode 10009, Total Reward: 0.0, Total Frames: 66072, epsilon 0.9339279999981001
Episode 10010, Total Reward: 0.0, Total Frames: 66074, epsilon 0.9339259999981
Episode 10011, Total Reward: 2.0, Total Frames: 66094, epsilon 0.9339059999980994
Episode 10012, Total Reward: 0.0, Total Frames: 66101, epsilon 0.9338989999980992
Episode 10013, Total Reward: 0.0, Total Frames: 66103, epsilon 0.9338969999980992
Episode 10014, Total Reward: 0.0, Total Frames: 66105, epsilon 0.9338949999980991
Episode 10015, Total Reward: 0.0, Total Frames: 66107, epsilon 0.933892999998099
Episode 10016, Total Reward: 1.0, Total Frames: 66118, epsilon 0.9338819999980987
Episode 10017, Total Reward: 0.0, Total Frames: 66120, epsilon 0.9338799999980987
Episode 10018, Total Reward: 0.0, Total Frames: 66122, epsilon 0.9338779999980986
Episode 10019, Total Reward: 0.0, Total Frames: 66124, epsilon 0.9338759999980986
Episode 10020, Total Reward: 0.0, Total Frames: 66126, epsilon 0.9338739999980985
Episode 10021, Total Reward: 1.0, Total Frames: 66139, epsilon 0.9338609999980981
Episode 10022, Total Reward: 0.0, Total Frames: 66141, epsilon 0.9338589999980981
Episode 10023, Total Reward: 0.0, Total Frames: 66143, epsilon 0.933856999998098
Episode 10024, Total Reward: 1.0, Total Frames: 66157, epsilon 0.9338429999980976
Episode 10025, Total Reward: 0.0, Total Frames: 66159, epsilon 0.9338409999980976
Episode 10026, Total Reward: 2.0, Total Frames: 66179, epsilon 0.933820999998097
Episode 10027, Total Reward: 0.0, Total Frames: 66181, epsilon 0.9338189999980969
Episode 10028, Total Reward: 0.0, Total Frames: 66183, epsilon 0.9338169999980969
Episode 10029, Total Reward: 1.0, Total Frames: 66195, epsilon 0.9338049999980965
Episode 10030, Total Reward: 1.0, Total Frames: 66208, epsilon 0.9337919999980961
Episode 10031, Total Reward: 0.0, Total Frames: 66216, epsilon 0.9337839999980959
Episode 10032, Total Reward: 0.0, Total Frames: 66218, epsilon 0.9337819999980959
Episode 10033, Total Reward: 1.0, Total Frames: 66232, epsilon 0.9337679999980955
Episode 10034, Total Reward: 0.0, Total Frames: 66234, epsilon 0.9337659999980954
Episode 10035, Total Reward: 0.0, Total Frames: 66236, epsilon 0.9337639999980953
Episode 10036, Total Reward: 0.0, Total Frames: 66243, epsilon 0.9337569999980951
Episode 10037, Total Reward: 0.0, Total Frames: 66245, epsilon 0.9337549999980951
Episode 10038, Total Reward: 0.0, Total Frames: 66247, epsilon 0.933752999998095
Episode 10039, Total Reward: 0.0, Total Frames: 66249, epsilon 0.933750999998095
Episode 10040, Total Reward: 0.0, Total Frames: 66251, epsilon 0.9337489999980949
Episode 10041, Total Reward: 0.0, Total Frames: 66253, epsilon 0.9337469999980949
Episode 10042, Total Reward: 2.0, Total Frames: 66271, epsilon 0.9337289999980943
Episode 10043, Total Reward: 0.0, Total Frames: 66273, epsilon 0.9337269999980943
Episode 10044, Total Reward: 1.0, Total Frames: 66284, epsilon 0.933715999998094
Episode 10045, Total Reward: 0.0, Total Frames: 66286, epsilon 0.9337139999980939
Episode 10046, Total Reward: 0.0, Total Frames: 66288, epsilon 0.9337119999980938
Episode 10047, Total Reward: 0.0, Total Frames: 66290, epsilon 0.9337099999980938
Episode 10048, Total Reward: 0.0, Total Frames: 66292, epsilon 0.9337079999980937
Episode 10049, Total Reward: 0.0, Total Frames: 66294, epsilon 0.9337059999980937
Episode 10050, Total Reward: 0.0, Total Frames: 66296, epsilon 0.9337039999980936
Episode 10051, Total Reward: 1.0, Total Frames: 66307, epsilon 0.9336929999980933
Episode 10052, Total Reward: 0.0, Total Frames: 66309, epsilon 0.9336909999980932
Episode 10053, Total Reward: 0.0, Total Frames: 66311, epsilon 0.9336889999980932
Episode 10054, Total Reward: 0.0, Total Frames: 66313, epsilon 0.9336869999980931
Episode 10055, Total Reward: 1.0, Total Frames: 66326, epsilon 0.9336739999980928
Episode 10056, Total Reward: 0.0, Total Frames: 66328, epsilon 0.9336719999980927
Episode 10057, Total Reward: 0.0, Total Frames: 66330, epsilon 0.9336699999980926
Episode 10058, Total Reward: 0.0, Total Frames: 66332, epsilon 0.9336679999980926
Episode 10059, Total Reward: 0.0, Total Frames: 66334, epsilon 0.9336659999980925
Episode 10060, Total Reward: 0.0, Total Frames: 66336, epsilon 0.9336639999980925
Episode 10061, Total Reward: 0.0, Total Frames: 66338, epsilon 0.9336619999980924
Episode 10062, Total Reward: 2.0, Total Frames: 66356, epsilon 0.9336439999980919
Episode 10063, Total Reward: 2.0, Total Frames: 66376, epsilon 0.9336239999980913
Episode 10064, Total Reward: 1.0, Total Frames: 66390, epsilon 0.9336099999980909
Episode 10065, Total Reward: 0.0, Total Frames: 66392, epsilon 0.9336079999980909
Episode 10066, Total Reward: 0.0, Total Frames: 66394, epsilon 0.9336059999980908
Episode 10067, Total Reward: 0.0, Total Frames: 66396, epsilon 0.9336039999980907
Episode 10068, Total Reward: 0.0, Total Frames: 66398, epsilon 0.9336019999980907
Episode 10069, Total Reward: 1.0, Total Frames: 66409, epsilon 0.9335909999980904
Episode 10070, Total Reward: 0.0, Total Frames: 66416, epsilon 0.9335839999980902
Episode 10071, Total Reward: 0.0, Total Frames: 66418, epsilon 0.9335819999980901
Episode 10072, Total Reward: 0.0, Total Frames: 66420, epsilon 0.93357999999809
Episode 10073, Total Reward: 1.0, Total Frames: 66433, epsilon 0.9335669999980897
Episode 10074, Total Reward: 1.0, Total Frames: 66453, epsilon 0.9335469999980891
Episode 10075, Total Reward: 0.0, Total Frames: 66455, epsilon 0.933544999998089
Episode 10076, Total Reward: 1.0, Total Frames: 66468, epsilon 0.9335319999980887
Episode 10077, Total Reward: 0.0, Total Frames: 66470, epsilon 0.9335299999980886
Episode 10078, Total Reward: 0.0, Total Frames: 66472, epsilon 0.9335279999980886
Episode 10079, Total Reward: 1.0, Total Frames: 66486, epsilon 0.9335139999980882
Episode 10080, Total Reward: 1.0, Total Frames: 66499, epsilon 0.9335009999980878
Episode 10081, Total Reward: 0.0, Total Frames: 66501, epsilon 0.9334989999980877
Episode 10082, Total Reward: 1.0, Total Frames: 66513, epsilon 0.9334869999980874
Episode 10083, Total Reward: 0.0, Total Frames: 66515, epsilon 0.9334849999980873
Episode 10084, Total Reward: 0.0, Total Frames: 66517, epsilon 0.9334829999980873
Episode 10085, Total Reward: 0.0, Total Frames: 66519, epsilon 0.9334809999980872
Episode 10086, Total Reward: 0.0, Total Frames: 66521, epsilon 0.9334789999980871
Episode 10087, Total Reward: 2.0, Total Frames: 66539, epsilon 0.9334609999980866
Episode 10088, Total Reward: 0.0, Total Frames: 66541, epsilon 0.9334589999980866
Episode 10089, Total Reward: 0.0, Total Frames: 66543, epsilon 0.9334569999980865
Episode 10090, Total Reward: 0.0, Total Frames: 66545, epsilon 0.9334549999980865
Episode 10091, Total Reward: 0.0, Total Frames: 66547, epsilon 0.9334529999980864
Episode 10092, Total Reward: 0.0, Total Frames: 66549, epsilon 0.9334509999980863
Episode 10093, Total Reward: 2.0, Total Frames: 66569, epsilon 0.9334309999980858
Episode 10094, Total Reward: 0.0, Total Frames: 66571, epsilon 0.9334289999980857
Episode 10095, Total Reward: 0.0, Total Frames: 66573, epsilon 0.9334269999980856
Episode 10096, Total Reward: 0.0, Total Frames: 66575, epsilon 0.9334249999980856
Episode 10097, Total Reward: 0.0, Total Frames: 66577, epsilon 0.9334229999980855
Episode 10098, Total Reward: 0.0, Total Frames: 66579, epsilon 0.9334209999980855
Episode 10099, Total Reward: 0.0, Total Frames: 66581, epsilon 0.9334189999980854
Episode 10100, Total Reward: 0.0, Total Frames: 66583, epsilon 0.9334169999980854
Episode 10101, Total Reward: 1.0, Total Frames: 66594, epsilon 0.933405999998085
Episode 10102, Total Reward: 0.0, Total Frames: 66596, epsilon 0.933403999998085
Episode 10103, Total Reward: 1.0, Total Frames: 66608, epsilon 0.9333919999980846
Episode 10104, Total Reward: 2.0, Total Frames: 66633, epsilon 0.9333669999980839
Episode 10105, Total Reward: 0.0, Total Frames: 66640, epsilon 0.9333599999980837
Episode 10106, Total Reward: 0.0, Total Frames: 66642, epsilon 0.9333579999980837
Episode 10107, Total Reward: 0.0, Total Frames: 66644, epsilon 0.9333559999980836
Episode 10108, Total Reward: 0.0, Total Frames: 66646, epsilon 0.9333539999980835
Episode 10109, Total Reward: 1.0, Total Frames: 66657, epsilon 0.9333429999980832
Episode 10110, Total Reward: 0.0, Total Frames: 66659, epsilon 0.9333409999980832
Episode 10111, Total Reward: 0.0, Total Frames: 66661, epsilon 0.9333389999980831
Episode 10112, Total Reward: 0.0, Total Frames: 66663, epsilon 0.9333369999980831
Episode 10113, Total Reward: 0.0, Total Frames: 66665, epsilon 0.933334999998083
Episode 10114, Total Reward: 0.0, Total Frames: 66667, epsilon 0.933332999998083
Episode 10115, Total Reward: 1.0, Total Frames: 66683, epsilon 0.9333169999980825
Episode 10116, Total Reward: 0.0, Total Frames: 66685, epsilon 0.9333149999980824
Episode 10117, Total Reward: 3.0, Total Frames: 66718, epsilon 0.9332819999980815
Episode 10118, Total Reward: 1.0, Total Frames: 66732, epsilon 0.9332679999980811
Episode 10119, Total Reward: 0.0, Total Frames: 66734, epsilon 0.933265999998081
Episode 10120, Total Reward: 0.0, Total Frames: 66736, epsilon 0.933263999998081
Episode 10121, Total Reward: 0.0, Total Frames: 66738, epsilon 0.9332619999980809
Episode 10122, Total Reward: 0.0, Total Frames: 66740, epsilon 0.9332599999980808
Episode 10123, Total Reward: 1.0, Total Frames: 66751, epsilon 0.9332489999980805
Episode 10124, Total Reward: 1.0, Total Frames: 66765, epsilon 0.9332349999980801
Episode 10125, Total Reward: 0.0, Total Frames: 66767, epsilon 0.9332329999980801
Episode 10126, Total Reward: 0.0, Total Frames: 66769, epsilon 0.93323099999808
Episode 10127, Total Reward: 0.0, Total Frames: 66771, epsilon 0.93322899999808
Episode 10128, Total Reward: 2.0, Total Frames: 66789, epsilon 0.9332109999980794
Episode 10129, Total Reward: 1.0, Total Frames: 66812, epsilon 0.9331879999980788
Episode 10130, Total Reward: 0.0, Total Frames: 66814, epsilon 0.9331859999980787
Episode 10131, Total Reward: 1.0, Total Frames: 66827, epsilon 0.9331729999980783
Episode 10132, Total Reward: 1.0, Total Frames: 66841, epsilon 0.9331589999980779
Episode 10133, Total Reward: 0.0, Total Frames: 66852, epsilon 0.9331479999980776
Episode 10134, Total Reward: 0.0, Total Frames: 66854, epsilon 0.9331459999980776
Episode 10135, Total Reward: 0.0, Total Frames: 66856, epsilon 0.9331439999980775
Episode 10136, Total Reward: 2.0, Total Frames: 66874, epsilon 0.933125999998077
Episode 10137, Total Reward: 0.0, Total Frames: 66876, epsilon 0.9331239999980769
Episode 10138, Total Reward: 0.0, Total Frames: 66878, epsilon 0.9331219999980769
Episode 10139, Total Reward: 1.0, Total Frames: 66890, epsilon 0.9331099999980765
Episode 10140, Total Reward: 0.0, Total Frames: 66892, epsilon 0.9331079999980765
Episode 10141, Total Reward: 0.0, Total Frames: 66894, epsilon 0.9331059999980764
Episode 10142, Total Reward: 0.0, Total Frames: 66896, epsilon 0.9331039999980764
Episode 10143, Total Reward: 0.0, Total Frames: 66898, epsilon 0.9331019999980763
Episode 10144, Total Reward: 1.0, Total Frames: 66911, epsilon 0.9330889999980759
Episode 10145, Total Reward: 0.0, Total Frames: 66913, epsilon 0.9330869999980759
Episode 10146, Total Reward: 2.0, Total Frames: 66933, epsilon 0.9330669999980753
Episode 10147, Total Reward: 0.0, Total Frames: 66940, epsilon 0.9330599999980751
Episode 10148, Total Reward: 0.0, Total Frames: 66942, epsilon 0.933057999998075
Episode 10149, Total Reward: 0.0, Total Frames: 66944, epsilon 0.933055999998075
Episode 10150, Total Reward: 0.0, Total Frames: 66946, epsilon 0.9330539999980749
Episode 10151, Total Reward: 1.0, Total Frames: 66957, epsilon 0.9330429999980746
Episode 10152, Total Reward: 0.0, Total Frames: 66972, epsilon 0.9330279999980742
Episode 10153, Total Reward: 0.0, Total Frames: 66974, epsilon 0.9330259999980741
Episode 10154, Total Reward: 0.0, Total Frames: 66976, epsilon 0.9330239999980741
Episode 10155, Total Reward: 0.0, Total Frames: 66978, epsilon 0.933021999998074
Episode 10156, Total Reward: 0.0, Total Frames: 66980, epsilon 0.933019999998074
Episode 10157, Total Reward: 2.0, Total Frames: 67000, epsilon 0.9329999999980734
Episode 10158, Total Reward: 0.0, Total Frames: 67002, epsilon 0.9329979999980733
Episode 10159, Total Reward: 2.0, Total Frames: 67022, epsilon 0.9329779999980727
Episode 10160, Total Reward: 0.0, Total Frames: 67024, epsilon 0.9329759999980727
Episode 10161, Total Reward: 0.0, Total Frames: 67026, epsilon 0.9329739999980726
Episode 10162, Total Reward: 1.0, Total Frames: 67038, epsilon 0.9329619999980723
Episode 10163, Total Reward: 0.0, Total Frames: 67040, epsilon 0.9329599999980722
Episode 10164, Total Reward: 1.0, Total Frames: 67051, epsilon 0.9329489999980719
Episode 10165, Total Reward: 0.0, Total Frames: 67053, epsilon 0.9329469999980718
